ASSIGNMENT_ID,FLIGHT_ID,STAFF_CODE,DUTY_ROLE
100001,1001,JL0CA134,チーフCA
100002,1001,JL0CA139,CA
100003,1001,JL0CA180,CA
100004,1001,JL0CA030,CA
100005,1001,JL0CA046,CA
100006,1001,JL0CA098,CA
100007,1002,JL0CA075,チーフCA
100008,1002,JL0CA008,CA
100009,1002,JL0CA058,CA
100010,1002,JL0CA030,CA
100011,1003,JL0CA003,チーフCA
100012,1003,JL0CA026,CA
100013,1003,JL0CA041,CA
100014,1003,JL0CA199,CA
100015,1003,JL0CA132,CA
100016,1003,JL0CA177,CA
100017,1003,JL0CA078,CA
100018,1004,JL0CA163,チーフCA
100019,1004,JL0CA097,CA
100020,1004,JL0CA152,CA
100021,1004,JL0CA104,CA
100022,1004,JL0CA197,CA
100023,1004,JL0CA177,CA
100024,1004,JL0CA172,CA
100025,1004,JL0CA084,CA
100026,1005,JL0CA019,チーフCA
100027,1005,JL0CA087,CA
100028,1005,JL0CA073,CA
100029,1005,JL0CA159,CA
100030,1005,JL0CA041,CA
100031,1006,JL0CA131,チーフCA
100032,1006,JL0CA018,CA
100033,1006,JL0CA151,CA
100034,1007,JL0CA070,チーフCA
100035,1007,JL0CA081,CA
100036,1007,JL0CA028,CA
100037,1008,JL0CA075,チーフCA
100038,1008,JL0CA009,CA
100039,1008,JL0CA089,CA
100040,1008,JL0CA099,CA
100041,1008,JL0CA025,CA
100042,1008,JL0CA123,CA
100043,1008,JL0CA122,CA
100044,1008,JL0CA049,CA
100045,1009,JL0CA034,チーフCA
100046,1009,JL0CA067,CA
100047,1009,JL0CA192,CA
100048,1009,JL0CA064,CA
100049,1010,JL0CA012,チーフCA
100050,1010,JL0CA173,CA
100051,1010,JL0CA175,CA
100052,1011,JL0CA182,チーフCA
100053,1011,JL0CA010,CA
100054,1011,JL0CA190,CA
100055,1011,JL0CA183,CA
100056,1011,JL0CA178,CA
100057,1011,JL0CA189,CA
100058,1012,JL0CA085,チーフCA
100059,1012,JL0CA095,CA
100060,1012,JL0CA121,CA
100061,1012,JL0CA162,CA
100062,1012,JL0CA117,CA
100063,1012,JL0CA152,CA
100064,1012,JL0CA139,CA
100065,1012,JL0CA039,CA
100066,1013,JL0CA124,チーフCA
100067,1013,JL0CA117,CA
100068,1013,JL0CA189,CA
100069,1013,JL0CA176,CA
100070,1014,JL0CA158,チーフCA
100071,1014,JL0CA189,CA
100072,1014,JL0CA012,CA
100073,1014,JL0CA072,CA
100074,1014,JL0CA041,CA
100075,1015,JL0CA058,チーフCA
100076,1015,JL0CA004,CA
100077,1015,JL0CA149,CA
100078,1016,JL0CA166,チーフCA
100079,1016,JL0CA143,CA
100080,1016,JL0CA140,CA
100081,1016,JL0CA073,CA
100082,1016,JL0CA092,CA
100083,1016,JL0CA145,CA
100084,1016,JL0CA051,CA
100085,1017,JL0CA029,チーフCA
100086,1017,JL0CA093,CA
100087,1017,JL0CA088,CA
100088,1017,JL0CA058,CA
100089,1017,JL0CA156,CA
100090,1017,JL0CA184,CA
100091,1018,JL0CA111,チーフCA
100092,1018,JL0CA195,CA
100093,1018,JL0CA013,CA
100094,1019,JL0CA160,チーフCA
100095,1019,JL0CA122,CA
100096,1019,JL0CA032,CA
100097,1019,JL0CA037,CA
100098,1019,JL0CA046,CA
100099,1019,JL0CA165,CA
100100,1019,JL0CA189,CA
100101,1019,JL0CA002,CA
100102,1020,JL0CA167,チーフCA
100103,1020,JL0CA076,CA
100104,1020,JL0CA166,CA
100105,1020,JL0CA017,CA
100106,1020,JL0CA070,CA
100107,1020,JL0CA020,CA
100108,1020,JL0CA002,CA
100109,1021,JL0CA071,チーフCA
100110,1021,JL0CA046,CA
100111,1021,JL0CA177,CA
100112,1021,JL0CA135,CA
100113,1021,JL0CA161,CA
100114,1021,JL0CA174,CA
100115,1022,JL0CA016,チーフCA
100116,1022,JL0CA072,CA
100117,1022,JL0CA124,CA
100118,1022,JL0CA068,CA
100119,1023,JL0CA132,チーフCA
100120,1023,JL0CA193,CA
100121,1023,JL0CA154,CA
100122,1024,JL0CA140,チーフCA
100123,1024,JL0CA125,CA
100124,1024,JL0CA017,CA
100125,1024,JL0CA073,CA
100126,1024,JL0CA126,CA
100127,1025,JL0CA103,チーフCA
100128,1025,JL0CA104,CA
100129,1025,JL0CA078,CA
100130,1025,JL0CA141,CA
100131,1025,JL0CA116,CA
100132,1026,JL0CA082,チーフCA
100133,1026,JL0CA065,CA
100134,1026,JL0CA034,CA
100135,1027,JL0CA169,チーフCA
100136,1027,JL0CA034,CA
100137,1027,JL0CA020,CA
100138,1027,JL0CA114,CA
100139,1028,JL0CA167,チーフCA
100140,1028,JL0CA089,CA
100141,1028,JL0CA114,CA
100142,1028,JL0CA022,CA
100143,1028,JL0CA071,CA
100144,1028,JL0CA148,CA
100145,1029,JL0CA072,チーフCA
100146,1029,JL0CA191,CA
100147,1029,JL0CA137,CA
100148,1029,JL0CA129,CA
100149,1030,JL0CA063,チーフCA
100150,1030,JL0CA009,CA
100151,1030,JL0CA180,CA
100152,1030,JL0CA060,CA
100153,1030,JL0CA144,CA
100154,1031,JL0CA019,チーフCA
100155,1031,JL0CA130,CA
100156,1031,JL0CA070,CA
100157,1031,JL0CA106,CA
100158,1031,JL0CA178,CA
100159,1031,JL0CA036,CA
100160,1032,JL0CA065,チーフCA
100161,1032,JL0CA034,CA
100162,1032,JL0CA060,CA
100163,1032,JL0CA153,CA
100164,1032,JL0CA094,CA
100165,1032,JL0CA136,CA
100166,1033,JL0CA082,チーフCA
100167,1033,JL0CA084,CA
100168,1033,JL0CA128,CA
100169,1034,JL0CA002,チーフCA
100170,1034,JL0CA021,CA
100171,1034,JL0CA104,CA
100172,1034,JL0CA163,CA
100173,1035,JL0CA177,チーフCA
100174,1035,JL0CA104,CA
100175,1035,JL0CA098,CA
100176,1035,JL0CA148,CA
100177,1035,JL0CA162,CA
100178,1035,JL0CA191,CA
100179,1035,JL0CA176,CA
100180,1035,JL0CA130,CA
100181,1036,JL0CA057,チーフCA
100182,1036,JL0CA041,CA
100183,1036,JL0CA178,CA
100184,1036,JL0CA038,CA
100185,1036,JL0CA189,CA
100186,1036,JL0CA002,CA
100187,1037,JL0CA080,チーフCA
100188,1037,JL0CA004,CA
100189,1037,JL0CA138,CA
100190,1037,JL0CA179,CA
100191,1037,JL0CA055,CA
100192,1038,JL0CA034,チーフCA
100193,1038,JL0CA043,CA
100194,1038,JL0CA049,CA
100195,1038,JL0CA140,CA
100196,1038,JL0CA005,CA
100197,1038,JL0CA020,CA
100198,1038,JL0CA031,CA
100199,1039,JL0CA101,チーフCA
100200,1039,JL0CA137,CA
100201,1039,JL0CA129,CA
100202,1040,JL0CA164,チーフCA
100203,1040,JL0CA079,CA
100204,1040,JL0CA104,CA
100205,1041,JL0CA072,チーフCA
100206,1041,JL0CA162,CA
100207,1041,JL0CA042,CA
100208,1041,JL0CA174,CA
100209,1042,JL0CA177,チーフCA
100210,1042,JL0CA018,CA
100211,1042,JL0CA083,CA
100212,1042,JL0CA139,CA
100213,1042,JL0CA152,CA
100214,1042,JL0CA082,CA
100215,1042,JL0CA168,CA
100216,1043,JL0CA074,チーフCA
100217,1043,JL0CA005,CA
100218,1043,JL0CA009,CA
100219,1043,JL0CA053,CA
100220,1043,JL0CA030,CA
100221,1043,JL0CA050,CA
100222,1043,JL0CA043,CA
100223,1044,JL0CA045,チーフCA
100224,1044,JL0CA144,CA
100225,1044,JL0CA030,CA
100226,1045,JL0CA110,チーフCA
100227,1045,JL0CA179,CA
100228,1045,JL0CA070,CA
100229,1045,JL0CA097,CA
100230,1046,JL0CA064,チーフCA
100231,1046,JL0CA150,CA
100232,1046,JL0CA071,CA
100233,1046,JL0CA039,CA
100234,1046,JL0CA077,CA
100235,1047,JL0CA198,チーフCA
100236,1047,JL0CA104,CA
100237,1047,JL0CA197,CA
100238,1047,JL0CA042,CA
100239,1047,JL0CA169,CA
