FLIGHT_ID,FLIGHT_NUMBER,SERVICE_DATE,ORIGIN_AIRPORT_CODE,DEST_AIRPORT_CODE,SCHED_DEP_DATETIME_LOCAL,ACTUAL_DEP_DATETIME_LOCAL,SCHED_ARR_DATETIME_LOCAL,ACTUAL_ARR_DATETIME_LOCAL,AIRCRAFT_CODE,SEATS_OFFERED,PAX_BOARDED,CABIN_PAX_Y,CABIN_PAX_J,CABIN_PAX_F,CANCELLATION_FLAG,CANCELLATION_REASON_CATEGORY,ARRIVAL_DELAY_MIN,ON_TIME_ARRIVAL_FLAG
1001,JL0504,2019-01-01,HND,CTS,2019-01-01 17:30,2019-01-01 17:32,2019-01-01 19:00,2019-01-01 19:04,A350,369,279,228,46,5,N,,4,Y
1002,JL0170,2019-01-01,HND,ITM,2019-01-01 07:45,2019-01-01 07:45,2019-01-01 08:45,2019-01-01 08:40,B787-8,291,226,192,34,0,N,,-5,Y
1003,JL0372,2019-01-01,HND,FUK,2019-01-01 09:45,2019-01-01 09:47,2019-01-01 11:25,2019-01-01 11:36,A350,369,320,262,53,5,N,,11,Y
1004,JL0290,2019-01-01,HND,NGO,2019-01-01 12:30,2019-01-01 12:35,2019-01-01 13:20,2019-01-01 13:24,B737,165,142,132,10,0,N,,4,Y
1005,JL7346,2019-01-01,NRT,BKK,2019-01-01 19:30,2019-01-01 20:00,2019-01-02 02:00,2019-01-02 02:33,B787-9,312,257,205,45,7,N,,33,N
1006,JL0649,2019-01-01,NRT,LAX,2019-01-01 07:30,2019-01-01 08:15,2019-01-01 18:30,2019-01-01 19:29,B777-300,244,187,119,62,6,N,,59,N
1007,JL0299,2019-01-01,HND,HKG,2019-01-01 10:00,2019-01-01 10:02,2019-01-01 14:00,2019-01-01 14:00,B787-8,291,227,193,34,0,N,,0,Y
1008,JL0921,2019-01-01,HND,ICN,2019-01-01 11:30,2019-01-01 11:32,2019-01-01 14:00,2019-01-01 14:05,B767,261,213,193,20,0,N,,5,Y
1009,JL7769,2019-01-01,NRT,SYD,2019-01-01 17:15,2019-01-01 17:15,2019-01-02 03:15,2019-01-02 03:24,B787-9,312,270,216,47,7,N,,9,Y
1010,JL0872,2019-01-01,HND,PVG,2019-01-01 09:30,2019-01-01 09:30,2019-01-01 12:30,2019-01-01 12:32,B767,261,218,197,21,0,N,,2,Y
1011,JL0509,2019-01-02,HND,CTS,2019-01-02 09:30,2019-01-02 09:32,2019-01-02 11:00,2019-01-02 11:17,A350,369,325,266,54,5,N,,17,N
